0,CombatZoneResize,133,200,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0.4,BoneVRepeat,133,356,45,0,120,185,15,
0,GasterBlaster,0,0,0,226,300,0,0.7,0.4
0,Platform,15,360,15,0,120,,,
1,GasterBlaster,0,0,0,226,300,0,0.7,0.4
1,Platform,15,346,15,0,120,,,
1,GasterBlaster,0,0,0,226,346,0,0.7,0.4
1,Platform,15,300,15,0,120,,,
1,GasterBlaster,0,0,0,226,300,0,0.7,0.4
1,Platform,15,346,15,0,120,,,
1,GasterBlaster,0,0,0,226,346,0,0.7,0.4
1,Platform,15,300,15,0,120,,,
1,GasterBlaster,0,0,0,226,300,0,0.7,0.4
1,Platform,15,346,15,0,120,,,
1,GasterBlaster,0,0,0,226,346,0,0.7,0.4
1,Platform,15,300,15,0,120,,,
1,GasterBlaster,0,0,0,226,300,0,0.7,0.4
1,Platform,15,346,15,0,120,,,
1,GasterBlaster,0,0,0,226,346,0,0.7,0.4
1,Platform,15,300,15,0,120,,,
1,GasterBlaster,0,0,0,226,300,0,0.7,0.4
1,Platform,15,346,15,0,120,,,
1,GasterBlaster,0,0,0,226,346,0,0.7,0.4
1,Platform,15,300,15,0,120,,,
3,GasterBlaster,0,0,0,226,226,45,0,0.4
0.4,GasterBlaster,0,0,0,226,226,90,0,0.4
0.4,GasterBlaster,0,0,0,226,226,135,0,0.4
0.4,GasterBlaster,0,0,0,226,226,270,0,0.4
0.4,GasterBlaster,0,0,0,226,226,45,0,0.4
0.2,HeartMode,0,,,,,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,41,$HeartY,0,0,0.4
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.4
0.1,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,41,$HeartY,0,0,0.4
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.4
0.1,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,41,$HeartY,0,0,0.4
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.4
0.1,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,41,$HeartY,0,0,0.4
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.4
0.1,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,41,$HeartY,0,0,0.4
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.4
0.1,GetHeartPos,HeartX,HeartY,,,,,,
