0,CombatZoneResize,241,226,406,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0,BoneStab,0,40,0,20,,,,
0,BoneStab,1,40,0,20,,,,
0,BoneStab,2,40,0,20,,,,
0,BoneStab,3,40,0,20,,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
